# Time-averaged data for fix 9
# TimeStep c_msd[4]
100 0.0295378
200 0.169169
300 0.391875
400 0.679588
500 1.00769
600 1.36275
700 1.75719
800 2.18106
900 2.62459
1000 3.0697
1100 3.49129
1200 3.89555
1300 4.28509
1400 4.70275
1500 5.13592
1600 5.59141
1700 6.03121
1800 6.47305
1900 6.89989
2000 7.33618
2100 7.79606
2200 8.26001
2300 8.73793
2400 9.26244
2500 9.75747
2600 10.2932
2700 10.855
2800 11.4604
2900 12.0633
3000 12.6462
3100 13.1819
3200 13.6502
3300 14.1113
3400 14.5865
3500 15.0169
3600 15.4912
3700 16.0161
3800 16.5704
3900 17.0977
4000 17.6132
4100 18.1209
4200 18.6264
4300 19.064
4400 19.4676
4500 19.9648
4600 20.4915
4700 21.0126
4800 21.5344
4900 22.0774
5000 22.5986
5100 23.1372
5200 23.6401
5300 24.19
5400 24.7524
5500 25.2064
5600 25.6538
5700 26.1611
5800 26.6821
5900 27.1751
6000 27.6318
6100 28.1236
6200 28.5891
6300 28.9955
6400 29.3387
6500 29.6245
6600 29.9088
6700 30.1882
6800 30.5347
6900 30.9803
7000 31.4456
7100 31.8643
7200 32.3011
7300 32.8095
7400 33.3659
7500 33.9795
7600 34.5657
7700 35.1692
7800 35.7273
7900 36.1817
8000 36.6152
8100 37.0811
8200 37.5899
8300 38.1354
8400 38.7306
8500 39.2789
8600 39.8301
8700 40.4309
8800 41.0887
8900 41.7161
9000 42.3037
9100 42.86
9200 43.3793
9300 43.842
9400 44.2707
9500 44.6946
9600 45.0593
9700 45.4671
9800 45.8114
9900 46.2316
10000 46.6926
10100 47.226
10200 47.851
10300 48.5013
10400 49.0856
10500 49.6489
10600 50.233
10700 50.8567
10800 51.5074
10900 52.073
11000 52.6214
11100 53.1825
11200 53.8249
11300 54.3856
11400 54.9601
11500 55.554
11600 56.1244
11700 56.714
11800 57.3141
11900 57.9919
12000 58.6422
12100 59.1505
12200 59.6964
12300 60.3808
12400 60.9755
12500 61.5722
12600 62.0696
12700 62.5323
12800 63.0964
12900 63.6395
13000 64.2475
13100 64.8554
13200 65.3411
13300 65.7821
13400 66.2574
13500 66.7774
13600 67.3821
13700 67.9117
13800 68.3538
13900 68.7903
14000 69.2383
14100 69.6892
14200 70.1188
14300 70.5171
14400 70.9746
14500 71.5241
14600 72.1252
14700 72.8077
14800 73.4081
14900 73.9234
15000 74.5589
15100 75.0752
15200 75.5686
15300 75.9553
15400 76.4395
15500 76.8599
15600 77.3544
15700 77.9585
15800 78.5205
15900 79.0165
