# Time-averaged data for fix 9
# TimeStep c_msd[4]
100 0.0309902
200 0.179715
300 0.417281
400 0.715914
500 1.0522
600 1.42132
700 1.83445
800 2.26308
900 2.67717
1000 3.11396
1100 3.56111
1200 4.00985
1300 4.44457
1400 4.90868
1500 5.36305
1600 5.8416
1700 6.3578
1800 6.86902
1900 7.38052
2000 7.86074
2100 8.30165
2200 8.75525
2300 9.22972
2400 9.70484
2500 10.1923
2600 10.7173
2700 11.2636
2800 11.8078
2900 12.353
3000 12.9353
3100 13.508
3200 14.0258
3300 14.5777
3400 15.132
3500 15.6704
3600 16.2012
3700 16.7396
3800 17.181
3900 17.5592
4000 17.9991
4100 18.5043
4200 19.0138
4300 19.5323
4400 20.0765
4500 20.6594
4600 21.333
4700 21.9352
4800 22.4466
4900 22.9284
5000 23.3397
5100 23.733
5200 24.211
5300 24.6968
5400 25.1806
5500 25.7366
5600 26.353
5700 26.9188
5800 27.4113
5900 27.8558
6000 28.3489
6100 28.8401
6200 29.3356
6300 29.8516
6400 30.3145
6500 30.7628
6600 31.2232
6700 31.5903
6800 31.9691
6900 32.4738
7000 33.0485
7100 33.6391
7200 34.2389
7300 34.8028
7400 35.3588
7500 35.8721
7600 36.3521
7700 36.8637
7800 37.3788
7900 37.9244
8000 38.4866
8100 38.9615
8200 39.3653
8300 39.847
8400 40.359
8500 40.859
8600 41.4411
8700 42.018
8800 42.4557
8900 42.8979
9000 43.3315
9100 43.8488
9200 44.3535
9300 44.8171
9400 45.3251
9500 45.8044
9600 46.3486
9700 46.8433
9800 47.3749
9900 47.9344
10000 48.4751
10100 49.0341
10200 49.6071
10300 50.2739
10400 50.9126
10500 51.4045
10600 51.8055
10700 52.2785
10800 52.8211
10900 53.3573
11000 53.8207
11100 54.2783
11200 54.8402
11300 55.4526
11400 55.9788
11500 56.5947
11600 57.2546
11700 57.8801
11800 58.4398
11900 58.9921
12000 59.4746
12100 59.9581
12200 60.4473
12300 61.0689
12400 61.6978
12500 62.377
12600 62.9565
12700 63.5395
12800 64.2556
12900 65.0018
13000 65.5986
13100 66.1879
13200 66.8549
13300 67.4983
13400 68.0917
13500 68.64
13600 69.1905
13700 69.7977
13800 70.307
13900 70.8727
14000 71.4335
14100 72.0884
14200 72.739
14300 73.3229
14400 73.9503
14500 74.6679
14600 75.2827
14700 75.8996
14800 76.4515
14900 76.9463
15000 77.3721
15100 77.8018
15200 78.2911
15300 78.9362
15400 79.7217
15500 80.3493
15600 80.8849
15700 81.4978
15800 82.0314
15900 82.4871
16000 82.9436
16100 83.5178
16200 83.9713
16300 84.4932
16400 85.1271
16500 85.7191
16600 86.2228
16700 86.7048
16800 87.1879
16900 87.6425
17000 88.1363
17100 88.552
17200 88.9638
17300 89.4718
17400 89.9424
17500 90.4418
17600 91.1578
17700 91.7511
17800 92.1696
17900 92.4859
18000 92.9416
18100 93.6017
18200 94.3098
18300 94.9499
18400 95.6999
18500 96.6406
18600 97.5127
18700 98.4293
18800 99.3559
18900 100.126
19000 100.845
19100 101.472
19200 102.089
19300 102.77
19400 103.376
19500 103.997
19600 104.599
19700 105.246
19800 105.875
19900 106.411
20000 106.937
20100 107.495
20200 108.092
20300 108.652
20400 109.143
20500 109.703
20600 110.308
20700 110.768
20800 111.031
20900 111.323
21000 111.81
21100 112.311
21200 112.783
21300 113.22
21400 113.711
21500 114.262
21600 114.733
21700 115.246
21800 115.762
21900 116.311
22000 116.751
22100 117.31
22200 117.906
22300 118.383
22400 118.937
22500 119.363
22600 119.671
22700 120.003
22800 120.28
22900 120.585
23000 120.86
23100 121.141
23200 121.603
23300 122.163
23400 122.644
23500 123.003
23600 123.348
23700 123.788
23800 124.334
23900 124.776
24000 125.16
24100 125.519
24200 125.987
24300 126.621
24400 127.273
24500 127.866
24600 128.399
24700 128.888
24800 129.29
24900 129.733
25000 130.287
25100 130.915
25200 131.483
25300 132.019
25400 132.589
25500 133.145
25600 133.791
25700 134.383
25800 135.013
25900 135.518
26000 135.92
26100 136.292
26200 136.664
26300 136.943
26400 137.217
26500 137.599
26600 138.067
26700 138.652
26800 139.309
26900 139.87
27000 140.347
27100 140.67
27200 141.095
27300 141.609
27400 142.075
27500 142.612
27600 143.064
27700 143.581
27800 144.182
27900 144.934
28000 145.629
28100 146.13
28200 146.778
28300 147.488
28400 148.076
28500 148.653
28600 149.289
28700 149.933
28800 150.623
28900 151.446
29000 152.232
29100 152.982
29200 153.622
29300 154.227
29400 154.888
29500 155.644
29600 156.376
29700 156.964
29800 157.529
29900 158.049
30000 158.547
30100 159.079
30200 159.464
30300 159.898
30400 160.385
30500 160.806
30600 161.433
30700 162.353
30800 163.267
30900 164.023
31000 164.778
31100 165.442
31200 166.043
31300 166.766
31400 167.479
31500 168.128
31600 168.647
31700 169.097
31800 169.5
31900 169.868
32000 170.293
32100 170.843
32200 171.396
32300 171.994
32400 172.502
32500 172.844
32600 173.257
