# Time-averaged data for fix 6
# TimeStep Number-of-rows
# Row c_srdf[1] c_srdf[2] c_srdf[3]
2000000 100
1 0.025 0 0
2 0.075 0 0
3 0.125 0 0
4 0.175 0 0
5 0.225 0 0
6 0.275 0 0
7 0.325 0 0
8 0.375 0 0
9 0.425 0 0
10 0.475 0 0
11 0.525 0 0
12 0.575 0 0
13 0.625 0 0
14 0.675 0 0
15 0.725 0 0
16 0.775 0 0
17 0.825 0 0
18 0.875 0 0
19 0.925 0 0
20 0.975 0 0
21 1.025 0 0
22 1.075 0 0
23 1.125 0.00497536 0.00115398
24 1.175 2.87718 0.729274
25 1.225 12.7379 4.23302
26 1.275 5.32644 5.82011
27 1.325 0.930856 6.11963
28 1.375 0.182682 6.18293
29 1.425 0.0517479 6.20219
30 1.475 0.0215902 6.2108
31 1.525 0.0134685 6.21654
32 1.575 0.0116988 6.22186
33 1.625 0.013534 6.22841
34 1.675 0.0196216 6.2385
35 1.725 0.0309377 6.25537
36 1.775 0.0564285 6.28796
37 1.825 0.103763 6.35131
38 1.875 0.171975 6.46213
39 1.925 0.307463 6.67095
40 1.975 1.12124 7.47257
41 2.025 1.96001 8.94568
42 2.075 1.50609 10.1342
43 2.125 1.23498 11.1563
44 2.175 0.919981 11.9539
45 2.225 0.754922 12.6389
46 2.275 0.762758 13.3625
47 2.325 0.787003 14.1422
48 2.375 0.914528 15.0877
49 2.425 1.34711 16.5396
50 2.475 1.3403 18.0443
51 2.525 0.890991 19.0855
52 2.575 0.63753 19.8602
53 2.625 0.569969 20.58
54 2.675 0.570011 21.3276
55 2.725 0.594722 22.137
56 2.775 0.641094 23.0418
57 2.825 0.699276 24.0646
58 2.875 0.764298 25.2225
59 2.925 0.873564 26.5923
60 2.975 1.04458 28.2868
61 3.025 1.15658 30.2265
62 3.075 1.22375 32.3473
63 3.125 1.32296 34.7151
64 3.175 1.38159 37.2677
65 3.225 1.34487 39.8312
66 3.275 1.26083 42.3097
67 3.325 1.17874 44.6981
68 3.375 1.11769 47.0314
69 3.425 1.07894 49.351
70 3.475 1.06233 51.7021
71 3.525 1.0576 54.1106
72 3.575 1.07381 56.6259
73 3.625 1.10667 59.2912
74 3.675 1.09774 62.0084
75 3.725 1.03729 64.6462
76 3.775 0.99043 67.233
77 3.825 0.97573 69.8494
78 3.875 0.977492 72.5394
79 3.925 0.992322 75.3412
80 3.975 1.02695 78.3151
81 4.025 1.07677 81.5122
82 4.075 1.11056 84.8921
83 4.125 1.12827 88.4107
84 4.175 1.1289 92.0171
85 4.225 1.10991 95.6482
86 4.275 1.09401 99.3126
87 4.325 1.07649 103.003
88 4.375 1.04934 106.684
89 4.425 1.0166 110.332
90 4.475 0.988003 113.958
91 4.525 0.962815 117.572
92 4.575 0.939639 121.176
93 4.625 0.922442 124.792
94 4.675 0.910827 128.441
95 4.725 0.905389 132.145
96 4.775 0.910127 135.949
97 4.825 0.920285 139.875
98 4.875 0.928304 143.919
99 4.925 0.928831 148.048
100 4.975 0.926463 152.25
