# Time-averaged data for fix 6
# TimeStep Number-of-rows
# Row c_srdf[1] c_srdf[2] c_srdf[3]
2000000 100
1 0.025 0 0
2 0.075 0 0
3 0.125 0 0
4 0.175 0 0
5 0.225 0 0
6 0.275 0 0
7 0.325 0 0
8 0.375 0 0
9 0.425 0 0
10 0.475 0 0
11 0.525 0 0
12 0.575 0 0
13 0.625 0 0
14 0.675 0 0
15 0.725 0 0
16 0.775 0 0
17 0.825 0 0
18 0.875 0 0
19 0.925 0 0
20 0.975 9.99355e-07 1.38889e-07
21 1.025 0.00125069 0.000191806
22 1.075 0.103625 0.0176671
23 1.125 1.07135 0.215567
24 1.175 2.90573 0.801126
25 1.225 3.58342 1.58602
26 1.275 2.95546 2.28728
27 1.325 2.06013 2.81516
28 1.375 1.37889 3.19564
29 1.425 0.956099 3.47899
30 1.475 0.712677 3.70528
31 1.525 0.578358 3.90158
32 1.575 0.510711 4.08647
33 1.625 0.484799 4.27329
34 1.675 0.486647 4.47255
35 1.725 0.507922 4.69312
36 1.775 0.542418 4.94254
37 1.825 0.58736 5.22804
38 1.875 0.641149 5.55701
39 1.925 0.700499 5.93585
40 1.975 0.765296 6.37152
41 2.025 0.832564 6.86978
42 2.075 0.89798 7.43408
43 2.125 0.955289 8.06367
44 2.175 1.00199 8.75547
45 2.225 1.0398 9.50676
46 2.275 1.07449 10.3184
47 2.325 1.10196 11.1878
48 2.375 1.11392 12.1048
49 2.425 1.10266 13.0511
50 2.475 1.07415 14.0114
51 2.525 1.03728 14.9766
52 2.575 1.00361 15.9478
53 2.625 0.977704 16.9309
54 2.675 0.962651 17.9362
55 2.725 0.955785 18.972
56 2.775 0.956706 20.0471
57 2.825 0.962575 21.1682
58 2.875 0.973743 22.3428
59 2.925 0.985915 23.5738
60 2.975 1.00038 24.866
61 3.025 1.01498 26.2214
62 3.075 1.02906 27.6414
63 3.125 1.04051 29.1243
64 3.175 1.04999 30.669
65 3.225 1.05659 32.2728
66 3.275 1.06001 33.932
67 3.325 1.06121 35.6442
68 3.375 1.05873 37.4041
69 3.425 1.05544 39.211
70 3.475 1.0497 41.0608
71 3.525 1.04215 42.9506
72 3.575 1.03465 44.8804
73 3.625 1.02597 46.8479
74 3.675 1.01832 48.8549
75 3.725 1.01067 50.9015
76 3.775 1.00501 52.9916
77 3.825 1.00004 55.1268
78 3.875 0.996902 57.3113
79 3.925 0.995277 59.5489
80 3.975 0.99458 61.8423
81 4.025 0.994661 64.1939
82 4.075 0.994655 66.6043
83 4.125 0.995425 69.0762
84 4.175 0.996624 71.6113
85 4.225 0.99818 74.2116
86 4.275 0.998598 76.875
87 4.325 0.998593 79.601
88 4.375 0.998488 82.3901
89 4.425 0.998368 85.243
90 4.475 0.997319 88.1576
91 4.525 0.99651 91.1354
92 4.575 0.995666 94.1767
93 4.625 0.99417 97.2801
94 4.675 0.992822 100.447
95 4.725 0.991919 103.679
96 4.775 0.992158 106.98
97 4.825 0.991769 110.349
98 4.875 0.991507 113.788
99 4.925 0.99151 117.298
100 4.975 0.991938 120.881
