# Time-averaged data for fix 5
# TimeStep c_t c_pp c_en v_volume v_densidade
500 2.15508 2.15447 1712.91 1729.2 0.249827
1000 2.18478 2.13899 1679.17 1735.18 0.248966
1500 2.13049 2.10024 1686.87 1746.69 0.247327
2000 2.13424 2.08727 1644.98 1763.5 0.24497
2500 2.0968 1.93103 1620.68 1785.17 0.241997
3000 2.01561 1.93394 1616.91 1810.78 0.238575
3500 1.95891 1.89306 1591.67 1839.46 0.234857
4000 1.93354 1.76075 1544.94 1869.85 0.231039
4500 1.9362 1.73778 1479.74 1900.48 0.227316
5000 1.83899 1.62419 1484.07 1930.22 0.223812
5500 1.85712 1.57306 1418.47 1958.12 0.220623
6000 1.81319 1.57308 1396.08 1984.12 0.217731
6500 1.78351 1.46888 1368.96 2008.6 0.215077
7000 1.75778 1.4448 1343.26 2031.62 0.21264
7500 1.74016 1.38677 1315.2 2053.55 0.21037
8000 1.69883 1.33474 1305.1 2074.63 0.208232
8500 1.68127 1.33969 1281.85 2094.85 0.206221
9000 1.65244 1.29966 1268.04 2114.4 0.204315
9500 1.65807 1.24577 1233.25 2133.27 0.202507
10000 1.63005 1.25547 1221.74 2151.4 0.2008
10500 1.58396 1.17753 1224.08 2168.77 0.199192
11000 1.53537 1.1866 1229.94 2185.1 0.197704
11500 1.56453 1.13836 1186.87 2200.35 0.196333
12000 1.53715 1.15472 1181.45 2214.6 0.19507
12500 1.49336 1.16665 1187.76 2227.93 0.193903
13000 1.46451 1.15245 1185.48 2240.43 0.19282
13500 1.47254 1.09849 1160.79 2252.06 0.191824
14000 1.46843 1.07078 1144.93 2262.69 0.190923
14500 1.4365 1.09316 1148.21 2272.27 0.190119
15000 1.41936 1.01937 1143.36 2280.87 0.189402
15500 1.46731 1.05192 1097.59 2288.17 0.188797
16000 1.48338 1.01738 1073.68 2294.23 0.188298
16500 1.44155 1.04857 1088.03 2299.1 0.1879
17000 1.45164 1.04493 1069.94 2303.01 0.187581
17500 1.40644 1.03565 1088.47 2306.05 0.187333
18000 1.3612 1.00195 1108.41 2308.24 0.187156
18500 1.37393 0.997373 1091.69 2309.4 0.187062
19000 1.3627 1.00686 1091.5 2309.49 0.187054
19500 1.35235 0.996771 1091.55 2308.76 0.187114
20000 1.37533 0.98634 1070.82 2307.14 0.187245
20500 1.3954 1.01179 1052.77 2304.63 0.187448
21000 1.33793 1.03028 1085.74 2301.48 0.187705
21500 1.37364 1.03495 1058.91 2297.98 0.187991
22000 1.33936 1.00535 1077.51 2294.17 0.188303
22500 1.33165 1.04512 1079.41 2289.89 0.188655
23000 1.31666 1.01764 1086.65 2285.32 0.189033
23500 1.32583 0.996972 1078.36 2280.43 0.189438
24000 1.31591 1.01345 1082.82 2275.06 0.189885
24500 1.32145 1.04748 1077.63 2269.32 0.190366
25000 1.28169 1.03568 1102.18 2263.46 0.190858
25500 1.29863 1.0335 1090.09 2257.43 0.191368
26000 1.29963 1.05226 1088.64 2251.24 0.191894
26500 1.28562 1.05847 1096.9 2245.09 0.19242
27000 1.28276 1.045 1097.92 2238.98 0.192945
27500 1.27123 1.03827 1104.5 2232.83 0.193476
28000 1.30476 1.04766 1081.94 2226.65 0.194013
28500 1.27282 1.03567 1101.74 2220.47 0.194553
29000 1.29333 1.10687 1087.5 2214.32 0.195094
29500 1.28561 1.07239 1091.5 2208.51 0.195607
30000 1.27493 1.0601 1097.03 2202.96 0.1961
30500 1.28252 1.07737 1090.53 2197.58 0.19658
31000 1.26187 1.06522 1102.13 2192.35 0.197049
31500 1.24566 1.0765 1110.63 2187.25 0.197509
32000 1.26843 1.07125 1094.07 2182.3 0.197957
32500 1.25114 1.08301 1103.09 2177.49 0.198393
33000 1.27767 1.10203 1083.31 2172.86 0.198816
33500 1.2621 1.10907 1090.61 2168.56 0.199211
34000 1.21536 1.13145 1118.11 2164.65 0.199571
34500 1.21935 1.07639 1112.48 2161.16 0.199893
35000 1.21726 1.0762 1110.12 2157.8 0.200204
35500 1.24045 1.09057 1091.32 2154.48 0.200512
36000 1.23829 1.03696 1088.98 2151.15 0.200823
36500 1.2129 1.12954 1101.56 2147.75 0.201141
37000 1.20443 1.08028 1103.42 2144.58 0.201438
37500 1.20544 1.11107 1098.85 2141.48 0.20173
38000 1.20486 1.03427 1095.65 2138.45 0.202016
38500 1.22123 1.04063 1080.99 2135.22 0.202321
39000 1.16812 1.08148 1111.68 2131.82 0.202644
39500 1.14937 1.11721 1120.54 2128.34 0.202975
40000 1.17732 1.10264 1099.12 2125.1 0.203285
40500 1.15986 1.08867 1106.8 2122.12 0.20357
41000 1.15141 1.06524 1108.54 2119.21 0.20385
41500 1.17081 1.07587 1092.11 2116.24 0.204136
42000 1.15597 1.14356 1097.74 2113.34 0.204416
42500 1.17343 1.10803 1082.59 2110.74 0.204668
43000 1.15795 1.09127 1088.34 2108.37 0.204898
43500 1.13624 1.1028 1097.79 2106.14 0.205115
44000 1.15565 1.10672 1080.66 2104 0.205324
44500 1.08348 1.10491 1122.85 2102.04 0.205515
45000 1.15955 1.04856 1069.01 2100.19 0.205696
45500 1.11403 1.0858 1093.66 2098.24 0.205887
46000 1.10723 1.08343 1093.5 2096.18 0.206089
46500 1.12707 1.08015 1076.13 2094.09 0.206295
47000 1.14697 1.05808 1058.78 2091.94 0.206507
47500 1.12941 1.09445 1065.62 2089.69 0.20673
48000 1.09268 1.08236 1085.26 2087.55 0.206941
48500 1.08919 1.13285 1082.98 2085.54 0.207141
49000 1.0777 1.08395 1085.99 2083.71 0.207323
49500 1.04137 1.09202 1105 2081.9 0.207503
50000 1.05812 1.09787 1089.7 2080.14 0.207678
50500 1.05097 1.10363 1089.77 2078.46 0.207847
51000 1.0774 1.11294 1067.93 2076.84 0.208008
51500 1.06481 1.04956 1071.52 2075.3 0.208163
52000 1.04922 1.09747 1076.85 2073.71 0.208322
52500 1.04842 1.11608 1072.65 2072.18 0.208477
53000 1.05133 1.05702 1066.29 2070.69 0.208626
53500 1.05137 1.06766 1061.51 2069.13 0.208783
54000 1.02629 1.07013 1073.19 2067.46 0.208952
54500 1.06825 1.06588 1041.54 2065.65 0.209135
55000 1.03699 1.04265 1057.68 2063.68 0.209335
55500 1.03284 1.08766 1056.34 2061.46 0.20956
56000 1.03227 1.08593 1052.95 2059.18 0.209792
56500 1.01088 1.08095 1063.13 2056.98 0.210017
57000 1.0116 1.03534 1059.1 2054.69 0.210251
57500 0.988358 1.1347 1070.43 2052.21 0.210505
58000 0.981424 1.08458 1071.8 2049.79 0.210754
58500 1.00685 1.12097 1051.72 2047.52 0.210987
59000 0.971394 1.11348 1070.98 2045.51 0.211194
59500 0.959563 1.10349 1074.97 2043.66 0.211386
60000 0.968231 1.08619 1065.54 2041.87 0.21157
60500 0.971444 1.09789 1059.41 2040.21 0.211743
61000 0.991499 1.09104 1042.21 2038.69 0.2119
61500 0.992437 1.12083 1037.13 2037.28 0.212047
62000 0.985082 1.04215 1037.66 2036.01 0.212179
62500 0.995449 1.07232 1026.44 2034.55 0.212332
63000 0.979371 1.1374 1032.37 2033.04 0.21249
63500 0.971901 1.0783 1032.94 2031.81 0.212619
64000 0.950224 1.05559 1042.62 2030.51 0.212755
64500 0.904121 1.0695 1068.3 2029.07 0.212905
