# Time-averaged data for fix 5
# TimeStep c_t c_pp c_en v_volume v_densidade
500 2.95245 2.52245 1781.71 1728.11 0.249984
1000 2.88664 2.4915 1822.7 1728.66 0.249904
1500 2.88921 2.53606 1817.88 1729.68 0.249757
2000 2.89462 2.48258 1810.39 1731.18 0.249541
2500 2.86585 2.47484 1823.42 1733.14 0.249259
3000 2.88144 2.54215 1806.12 1735.56 0.248911
3500 2.85072 2.52991 1817.73 1738.47 0.248495
4000 2.86279 2.50527 1800.14 1741.85 0.248013
4500 2.88657 2.39765 1774.07 1745.71 0.247464
5000 2.85678 2.36665 1781.57 1750.01 0.246856
5500 2.86601 2.44179 1762.21 1754.74 0.246191
6000 2.84136 2.41906 1763.78 1759.9 0.245468
6500 2.8631 2.36689 1734.3 1765.49 0.244692
7000 2.80579 2.31568 1755.3 1771.47 0.243865
7500 2.78239 2.34929 1753.19 1777.82 0.242994
8000 2.75529 2.32013 1752.49 1784.54 0.24208
8500 2.79305 2.31419 1708.83 1791.61 0.241124
9000 2.77051 2.25716 1703.75 1799 0.240134
9500 2.70502 2.22758 1726.09 1806.68 0.239113
10000 2.70463 2.23951 1705.75 1814.6 0.23807
10500 2.69071 2.18991 1693.84 1822.72 0.237008
11000 2.67583 2.17948 1682.42 1831.01 0.235935
11500 2.65779 2.11479 1672.82 1839.43 0.234856
12000 2.61573 2.04642 1679.36 1847.91 0.233778
12500 2.61635 2.05701 1657.77 1856.42 0.232706
13000 2.62204 2.10766 1632.47 1864.95 0.231642
13500 2.62796 2.02759 1607.62 1873.47 0.230588
14000 2.56715 2.03058 1626.28 1881.94 0.229551
14500 2.52921 1.97572 1630.44 1890.32 0.228533
15000 2.55419 1.9902 1593.83 1898.6 0.227537
15500 2.5245 1.94764 1593.38 1906.74 0.226565
16000 2.5408 1.92715 1563.64 1914.74 0.225619
16500 2.50395 1.89316 1568.55 1922.56 0.224701
17000 2.48107 1.8532 1565.06 1930.22 0.223809
17500 2.47235 1.87893 1552.67 1937.68 0.222948
18000 2.44547 1.83105 1553.08 1944.93 0.222116
